USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
NY	36001000100	2367456	245021	0.914	0.095	42.6637545	-73.7369092                                                                                                                                        
NY	36001000201	615867	0	0.238	0.	42.6583779	-73.7551936                                                                                                                                                 
NY	36001000202	1441490	0	0.557	0.	42.6670075	-73.7499542                                                                                                                                                
NY	36001000301	659499	0	0.255	0.	42.6726195	-73.7766433                                                                                                                                                 
NY	36001000302	5097939	55326	1.968	0.021	42.6820664	-73.7842127                                                                                                                                         
NY	36001000401	9037500	86162	3.489	0.033	42.7026692	-73.8668421                                                                                                                                         
NY	36001000403	3138700	0	1.212	0.	42.6768745	-73.8052643                                                                                                                                                
NY	36001000404	1869128	84679	0.722	0.033	42.690637	-73.828426                                                                                                                                           
NY	36001000501	547290	0	0.211	0.	42.6703394	-73.7824279                                                                                                                                                 
NY	36001000502	777455	0	0.3	0.	42.6670082	-73.7867332                                                                                                                                                   
NY	36001000600	506881	0	0.196	0.	42.6645893	-73.7736469                                                                                                                                                 
NY	36001000700	1593935	14749	0.615	0.006	42.6693001	-73.7632579                                                                                                                                         
NY	36001000800	344412	0	0.133	0.	42.6603638	-73.7652144                                                                                                                                                 
NY	36001001100	1740188	264496	0.672	0.102	42.6525522	-73.7500591                                                                                                                                        
NY	36001001400	752787	25632	0.291	0.01	42.6559725	-73.7688498                                                                                                                                           
NY	36001001500	582402	0	0.225	0.	42.6575003	-73.7816778                                                                                                                                                 
NY	36001001600	915228	0	0.353	0.	42.6586329	-73.7895279                                                                                                                                                 
NY	36001001700	1368040	0	0.528	0.	42.6609276	-73.7988675                                                                                                                                                
NY	36001001802	1909982	0	0.737	0.	42.6690196	-73.820398                                                                                                                                                 
NY	36001001803	1769248	16372	0.683	0.006	42.6623515	-73.812094                                                                                                                                          
NY	36001001804	6275446	4438	2.423	0.002	42.6460318	-73.8221262                                                                                                                                          
NY	36001001901	870995	0	0.336	0.	42.650638	-73.7922657                                                                                                                                                  
NY	36001001902	1172741	0	0.453	0.	42.6449334	-73.7963715                                                                                                                                                
